""	"Featureid2"	"Featureid"	"tubeID"	"IndID"	"NestID"	"SampleForm"	"Age"	"SimpleAge"	"Stage1"	"SampleForm2"	"EggViability"	"IE_XE"	"Poo_Cloaca"	"EmbrioMortality"	"TurtleMortalityRate"	"DayDeath"	"Worm"	"Eye"	"Bloated"	"DeformedPls"	"W"	"PW"	"PL"	"CW"	"CL"	"WT"	"VisualInsp"	"TEFPCR"	"PCRControl"	"Stage"	"betadist"	"SourceSinkRiver"	"source"	"Unknown"	"SampleFrom"
"76"	"2834"	"2834"	"Pu.ACN4T5.3"	"H5N4"	"28"	"Turtle"	"15"	">10"	"day15"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	16	"2,9"	"3,9"	"4"	"4,5"	"24,8"	"HviH"	"HFiNeg"	"Sample"	"day15"	31.0747668479745	"sink"	0.0061	0.9939	"Hatchling cloaca"
"77"	"2835"	"2835"	"Pu.ACN4T5.4"	"H5N4"	"28"	"Turtle"	"20"	">10"	"day20"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	17	"2,9"	"4"	"4"	"4,4"	"28"	"HviH"	"HFiNeg"	"Sample"	"day20"	29.3186142640808	"sink"	0.00149	0.99851	"Hatchling cloaca"
"78"	"2836"	"2836"	"Pu.ACN4T5.5"	"H5N4"	"28"	"Turtle"	"25"	">10"	"day25"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	17	"2,9"	"4"	"4,1"	"4,4"	"25,7"	"HviH"	"HFiNeg"	"Sample"	"day25"	26.827605536985	"sink"	0.00067	0.99933	"Hatchling cloaca"
"79"	"2838"	"2838"	"Pu.ACN4T5.7"	"H5N4"	"28"	"Turtle"	"44"	">30"	"day30andGreater"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"A"	18	"3,3"	"4"	"4,3"	"4,6"	NA	"HviH"	"HFiNeg"	"Sample"	"day30andGreater"	22.3935919013386	"sink"	6e-05	0.99994	"Hatchling cloaca"
"80"	"2840"	"2840"	"Pu.ACN4T6.0"	"H6N4"	"28"	"Turtle"	"0"	"<5"	"day0"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"P"	"A"	14	"2,7"	"3,6"	"3,4"	"4,1"	NA	"HviH"	"HFiNeg"	"Sample"	"day0"	22.3217916524969	"sink"	0.88711	0.11289	"Hatchling cloaca"
"81"	"2841"	"2841"	"Pu.ACN4T6.1"	"H6N4"	"28"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"P"	"A"	14	"2,7"	"3,7"	"3,6"	"4,3"	"24,4"	"HviUn"	"HFiNeg"	"Sample"	"day5"	32.6712878627585	"sink"	0.04071	0.95929	"Hatchling cloaca"
"82"	"2842"	"2842"	"Pu.ACN4T6.2"	"H6N4"	"28"	"Turtle"	"10"	"10"	"day10"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"P"	"A"	15	"2,9"	"3,7"	"3,7"	"4,3"	"25,1"	"HviH"	"HFiNeg"	"Sample"	"day10"	28.7910578493359	"sink"	0.00359	0.99641	"Hatchling cloaca"
"83"	"2843"	"2843"	"Pu.ACN4T6.3"	"H6N4"	"28"	"Turtle"	"15"	">10"	"day15"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"P"	"A"	16	"2,9"	"3,7"	"3,7"	"4,4"	"26"	"HviH"	"HFiNeg"	"Sample"	"day15"	27.4986411666605	"sink"	0.00211	0.99789	"Hatchling cloaca"
"84"	"2845"	"2845"	"Pu.ACN4T6.5"	"H6N4"	"28"	"Turtle"	"25"	">10"	"day25"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"P"	"A"	16	"2,9"	"3,7"	"3,9"	"4,4"	"27,7"	"HviH"	"HFiNeg"	"Sample"	"day25"	28.6939515371415	"sink"	0.00034	0.99966	"Hatchling cloaca"
"85"	"2846"	"2846"	"Pu.ACN4T6.6"	"H6N4"	"28"	"Turtle"	"30"	">10"	"day30andGreater"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"P"	"A"	16	"2,9"	"3,7"	"4,1"	"4,4"	"25,4"	"HviH"	"HFiNeg"	"Sample"	"day30andGreater"	25.2957012828193	"sink"	0.00036	0.99964	"Hatchling cloaca"
"86"	"2847"	"2847"	"Pu.ACN4T6.7"	"H6N4"	"28"	"Turtle"	"42"	">30"	"day30andGreater"	"Turtle"	"HVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"P"	"A"	18	"3"	"3,7"	"4,1"	"4,5"	NA	"HviH"	"HFiNeg"	"Sample"	"day30andGreater"	21.384655555636	"sink"	0.00215	0.99785	"Hatchling cloaca"
"87"	"2850"	"2850"	"Pu.ACN4T7.1"	"H7N4"	"28"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	"30"	""	"A"	"A"	"A"	16	"2,8"	"3,7"	"3,6"	"4,3"	"25,1"	"HviH"	"HFiNeg"	"Sample"	"day5"	31.135351533088	"sink"	0.61171	0.38829	"Hatchling cloaca"
"88"	"2851"	"2851"	"Pu.ACN4T7.2"	"H7N4"	"28"	"Turtle"	"10"	"10"	"day10"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	"30"	""	"A"	"A"	"A"	17	"2,8"	"3,6"	"3,6"	"4,3"	"26"	"HviH"	"HFiNeg"	"Sample"	"day10"	37.0201092292504	"sink"	0.07419	0.92581	"Hatchling cloaca"
"89"	"2852"	"2852"	"Pu.ACN4T7.3"	"H7N4"	"28"	"Turtle"	"15"	">10"	"day15"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	"30"	""	"A"	"A"	"A"	17	"3"	"3,8"	"3,8"	"4,4"	"23,5"	"HviH"	"HFiNeg"	"Sample"	"day15"	39.5346204354007	"sink"	0.19436	0.80564	"Hatchling cloaca"
"90"	"2853"	"2853"	"Pu.ACN4T7.4"	"H7N4"	"28"	"Turtle"	"20"	">10"	"day20"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	"30"	""	"A"	"A"	"A"	17	"3"	"3,8"	"3,9"	"4,4"	"27,7"	"HviH"	"HFiNeg"	"Sample"	"day20"	37.7812450448993	"sink"	0.00306	0.99694	"Hatchling cloaca"
"91"	"2854"	"2854"	"Pu.ACN4T7.5"	"H7N4"	"28"	"Turtle"	"25"	">10"	"day25"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	"30"	""	"A"	"A"	"A"	17	"3"	"3,8"	"3,9"	"4,4"	"25,4"	"HviH"	"HFiNeg"	"Sample"	"day25"	33.1780079137286	"sink"	0.09045	0.90955	"Hatchling cloaca"
"92"	"2855"	"2855"	"Pu.ACN4T7.6"	"H7N4"	"28"	"Turtle"	"30"	">10"	"day30andGreater"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	"30"	""	"A"	"A"	"A"	17	"3"	"3,8"	"3,9"	"4,4"	"26,4"	"HviH"	"HFiNeg"	"Sample"	"day30andGreater"	21.6357079682705	"sink"	0.00311	0.99689	"Hatchling cloaca"
"98"	"602"	"602"	"Pu.ACN6T1.0"	"H1N6"	"6"	"Turtle"	"0"	"<5"	"day0"	"Turtle"	"RVE"	NA	"C"	"H"	"MM"	"9"	"A"	"P"	"A"	"A"	16	"2,7"	"3,9"	"3,2"	"4,2"	NA	"HviH"	"HFiNeg"	"Sample"	"day0"	16.1824183672263	"sink"	0.45841	0.54159	"Hatchling cloaca"
"99"	"603"	"603"	"Pu.ACN6T1.1"	"H1N6"	"6"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"RVE"	NA	"C"	"H"	"MM"	"9"	"A"	"P"	"A"	"A"	16	"2,6"	"4"	"3,6"	"4,3"	"25,8"	"HviH"	"HFiNeg"	"Sample"	"day5"	33.0735630649565	"sink"	0.06696	0.93304	"Hatchling cloaca"
"100"	"604"	"604"	"Pu.ACN614.2"	"H1N6"	"6"	"Turtle"	"10"	"10"	"day10"	"Turtle"	"RVE"	NA	"C"	"H"	"MM"	"9"	"A"	"P"	"A"	"A"	17	"2,7"	"4"	"3,7"	"4,3"	"25,9"	"HviH"	"HFiNeg"	"Sample"	"day10"	30.6132649605178	"sink"	0.02362	0.97638	"Hatchling cloaca"
"101"	"606"	"606"	"Pu.ACN6T2.0"	"H2N6"	"6"	"Turtle"	"0"	"<5"	"day0"	"Turtle"	"RVE"	NA	"P"	"H"	"MM"	"12"	"A"	"P"	"A"	"A"	17	"2,8"	"4"	"3,7"	"4,4"	NA	"HviH"	"HFiNeg"	"Sample"	"day0"	24.1049753767568	"sink"	0.89478	0.10522	"Hatchling cloaca"
"102"	"607"	"607"	"Pu.ACN6T2.1"	"H2N6"	"6"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"RVE"	NA	"C"	"H"	"MM"	"12"	"A"	"P"	"A"	"A"	17	"2,9"	"4,1"	"3,9"	"4,4"	"25,8"	"HviH"	"HFiNeg"	"Sample"	"day5"	32.6735235651978	"sink"	0.02167	0.97833	"Hatchling cloaca"
"103"	"608"	"608"	"Pu.ACN6T2.2"	"H2N6"	"6"	"Turtle"	"10"	"10"	"day10"	"Turtle"	"RVE"	NA	"C"	"H"	"MM"	"12"	"A"	"P"	"A"	"A"	17	"2,9"	"4,1"	"3,9"	"4,5"	"25,9"	"HviH"	"HFiNeg"	"Sample"	"day10"	32.7291472175269	"sink"	0.00165	0.99835	"Hatchling cloaca"
"104"	"611"	"611"	"Pu.ACN6T3.1"	"H3N6"	"6"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"P"	16	"2,7"	"4"	"3,6"	"4,2"	"25,8"	"HviH"	"HFiNeg"	"Sample"	"day5"	34.1780098411018	"sink"	0.01591	0.98409	"Hatchling cloaca"
"105"	"612"	"612"	"Pu.ACN6T3.2"	"H3N6"	"6"	"Turtle"	"10"	"10"	"day10"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"P"	17	"2,8"	"4"	"3,8"	"4,4"	"24,1"	"HviH"	"HFiNeg"	"Sample"	"day10"	32.0324205741831	"sink"	0.00988	0.99012	"Hatchling cloaca"
"106"	"613"	"613"	"Pu.ACN6T3.3"	"H3N6"	"6"	"Turtle"	"15"	">10"	"day15"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"P"	17	"2,9"	"4"	"3,8"	"4,4"	"26,5"	"HviH"	"HFiNeg"	"Sample"	"day15"	35.3054713978026	"sink"	0.00083	0.99917	"Hatchling cloaca"
"107"	"614"	"614"	"Pu.ACN6T3.4"	"H3N6"	"6"	"Turtle"	"20"	">10"	"day20"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"A"	"P"	17	"2,9"	"4"	"3,8"	"4,4"	"24,3"	"HviH"	"HFiNeg"	"Sample"	"day20"	27.5649274890933	"sink"	0.00044	0.99956	"Hatchling cloaca"
"108"	"617"	"617"	"Pu.ACN6T4.0"	"H4N6"	"6"	"Turtle"	"0"	"<5"	"day0"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"P"	"P"	16	"2,5"	"3,8"	"3,3"	"4,1"	NA	"HviUn"	"HFiNeg"	"Sample"	"day0"	26.119910897379	"sink"	0.75678	0.24322	"Hatchling cloaca"
"109"	"618"	"618"	"Pu.ACN6T4.1"	"H4N6"	"6"	"Turtle"	"5"	"5"	"day5"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"P"	"P"	17	"2,7"	"4"	"3,7"	"4,3"	"25,9"	"HviUn"	"HFiNeg"	"Sample"	"day5"	35.9506788563401	"sink"	0.10729	0.89271	"Hatchling cloaca"
"110"	"619"	"619"	"Pu.ACN6T4.2"	"H4N6"	"6"	"Turtle"	"10"	"10"	"day10"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"P"	"P"	17	"2,7"	"4"	"3,7"	"4,3"	"24,5"	"HviUn"	"HFiNeg"	"Sample"	"day10"	32.7061787853174	"sink"	0.01407	0.98593	"Hatchling cloaca"
"111"	"620"	"620"	"Pu.ACN6T4.3"	"H4N6"	"6"	"Turtle"	"15"	">10"	"day15"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"P"	"P"	17	"2,7"	"4,1"	"3,8"	"4,4"	"26,1"	"HviUn"	"HFiNeg"	"Sample"	"day15"	32.6841565592846	"sink"	0.01065	0.98935	"Hatchling cloaca"
"112"	"621"	"621"	"Pu.ACN6T4.4"	"H4N6"	"6"	"Turtle"	"20"	">10"	"day20"	"Turtle"	"RVE"	NA	"C"	"H"	"LM"	">30"	"A"	"A"	"P"	"P"	17	"2,7"	"4,1"	"3,8"	"4,4"	"23,1"	"HviUn"	"HFiNeg"	"Sample"	"day20"	29.766025816832	"sink"	0.00016	0.99984	"Hatchling cloaca"
